"phone","password"
"13800000001","password123"
"13800000002","password123"
"13800000003","password123"
"13800000004","password123"
"13800000005","password123"
"13800000006","password123"
"13800000007","password123"
"13800000008","password123"
"13800000009","password123"
"13800000010","password123"
"13800000011","password123"
"13800000012","password123"
"13800000013","password123"
"13800000014","password123"
"13800000015","password123"
"13800000016","password123"
"13800000017","password123"
"13800000018","password123"
"13800000019","password123"
"13800000020","password123"
"13800000021","password123"
"13800000022","password123"
"13800000023","password123"
"13800000024","password123"
"13800000025","password123"
"13800000026","password123"
"13800000027","password123"
"13800000028","password123"
"13800000029","password123"
"13800000030","password123"
"13800000031","password123"
"13800000032","password123"
"13800000033","password123"
"13800000034","password123"
"13800000035","password123"
"13800000036","password123"
"13800000037","password123"
"13800000038","password123"
"13800000039","password123"
"13800000040","password123"
"13800000041","password123"
"13800000042","password123"
"13800000043","password123"
"13800000044","password123"
"13800000045","password123"
"13800000046","password123"
"13800000047","password123"
"13800000048","password123"
"13800000049","password123"
"13800000050","password123"
